iter	Passed	Remaining
825	15884	3346
826	15908	3327
827	15930	3309
828	15954	3291
829	15978	3272
830	16003	3254
831	16027	3236
832	16053	3218
833	16077	3199
834	16100	3181
835	16127	3163
836	16149	3145
837	16175	3126
838	16200	3108
839	16224	3090
840	16247	3071
841	16270	3053
842	16294	3034
843	16318	3016
844	16341	2997
845	16364	2978
846	16387	2960
847	16411	2941
848	16435	2923
849	16458	2904
850	16485	2886
851	16509	2867
852	16533	2849
853	16556	2830
854	16583	2812
855	16606	2793
856	16629	2774
857	16653	2756
858	16677	2737
859	16700	2718
860	16724	2699
861	16746	2681
862	16771	2662
863	16794	2643
864	16817	2624
865	16842	2606
866	16863	2586
867	16888	2568
868	16911	2549
869	16933	2530
870	16958	2511
871	16983	2493
872	17007	2474
873	17031	2455
874	17057	2436
875	17079	2417
876	17102	2398
877	17127	2379
878	17151	2361
879	17176	2342
880	17199	2323
881	17224	2304
882	17246	2285
883	17270	2266
884	17293	2247
885	17316	2228
886	17342	2209
887	17367	2190
888	17392	2171
889	17415	2152
890	17439	2133
891	17461	2114
892	17487	2095
893	17510	2076
894	17534	2057
895	17557	2037
896	17581	2018
897	17605	1999
898	17629	1980
899	17653	1961
900	17678	1942
901	17703	1923
902	17728	1904
903	17750	1885
904	17772	1865
905	17796	1846
906	17820	1827
907	17843	1807
908	17868	1788
909	17892	1769
910	17915	1750
911	17941	1731
912	17965	1711
913	17988	1692
914	18011	1673
915	18034	1653
916	18059	1634
917	18083	1615
918	18109	1596
919	18133	1576
920	18156	1557
921	18179	1537
922	18202	1518
923	18227	1499
924	18252	1479
925	18275	1460
926	18297	1440
927	18324	1421
928	18351	1402
929	18376	1383
930	18400	1363
931	18423	1344
932	18448	1324
933	18473	1305
934	18498	1285
935	18524	1266
936	18549	1247
937	18569	1227
938	18581	1207
939	18596	1186
940	18608	1166
941	18621	1146
942	18634	1126
943	18647	1106
944	18661	1086
945	18673	1065
946	18687	1045
947	18701	1025
948	18714	1005
949	18727	985
950	18740	965
951	18754	945
952	18767	925
953	18780	905
954	18793	885
955	18806	865
956	18819	845
957	18832	825
958	18845	805
959	18857	785
960	18871	765
961	18884	745
962	18897	726
963	18910	706
964	18923	686
965	18935	666
966	18947	646
967	18961	626
968	18973	607
969	18986	587
970	19000	567
971	19013	547
972	19026	527
973	19038	508
974	19052	488
975	19065	468
976	19077	449
977	19090	429
978	19102	409
979	19118	390
980	19131	370
981	19143	350
982	19155	331
983	19167	311
984	19181	292
985	19194	272
986	19207	252
987	19220	233
988	19233	213
989	19247	194
